facId,year,economicNoncooperation,protestDemonstration,nonviolentIntervention,socialNoncooperation,institutionalAction,politicalNoncooperation
103002,1992,0,0,0,0,0,0
103002,1993,0,1,1,0,0,0
103002,1994,0,0,0,0,0,0
103002,1995,0,0,0,0,0,0
103002,1996,0,0,0,0,0,0
103002,1997,0,0,0,0,0,0
103002,1998,1,1,1,0,1,0
103002,1999,1,1,1,0,0,0
103002,2000,1,1,1,0,0,0
103002,2001,0,1,1,0,0,0
103002,2002,0,1,0,0,0,0
103002,2003,0,1,0,0,0,0
103002,2004,0,1,1,0,0,0
103002,2005,0,1,1,1,0,0
103002,2006,0,0,0,0,0,0
103002,2007,0,0,0,0,0,0
103002,2008,0,0,0,0,0,0
103002,2009,0,0,0,0,0,0
103002,2010,0,1,0,0,0,0
103002,2011,0,1,0,0,0,0
103002,2012,0,0,0,0,0,0
103002,2013,0,0,0,0,0,0
103002,2014,0,0,0,0,0,0
103002,2015,0,1,0,0,0,0
103002,2016,0,0,0,0,0,0
103002,2017,0,1,0,1,0,0
103002,2018,0,1,0,1,0,0
103002,2019,0,1,0,1,0,0
103002,2020,0,0,0,0,0,0
103003,1972,0,0,0,0,0,0
103003,1973,0,0,0,0,0,0
103003,1974,0,0,0,0,0,0
103003,1975,0,0,0,0,1,0
103003,1976,0,0,0,0,0,0
103003,1977,0,0,0,0,0,0
103003,1978,0,0,0,0,0,0
103003,1979,0,0,0,0,0,0
103003,1980,0,0,0,0,0,0
103003,1981,0,0,0,0,0,0
103003,1982,0,0,0,0,0,0
103003,1983,0,0,0,0,0,0
103003,1984,0,0,0,0,0,0
103003,1985,0,0,0,0,0,0
103003,1986,0,0,0,0,0,0
103003,1987,0,0,0,0,0,0
103003,1988,0,0,0,0,0,0
103003,1989,0,0,0,0,0,0
103003,1990,0,0,0,0,0,0
103003,1991,0,0,0,0,0,0
103003,1992,0,0,0,0,0,0
103003,1993,0,0,0,0,0,0
103003,1994,0,0,0,0,0,0
103003,1995,0,0,0,0,0,0
103003,1996,0,0,0,0,0,0
103003,1997,0,0,0,0,0,0
103003,1998,0,1,0,0,0,1
103003,1999,0,0,1,0,1,0
103003,2000,0,0,0,0,1,0
103003,2001,1,0,0,0,0,1
103003,2002,0,1,0,0,0,0
103003,2003,1,1,1,0,0,0
103003,2004,1,1,1,0,0,0
103003,2005,0,0,0,0,0,0
103003,2006,0,0,0,0,0,0
103003,2007,0,0,0,0,0,0
103003,2008,0,0,0,0,0,0
103003,2009,0,0,0,0,0,0
103003,2010,0,1,0,0,0,0
103003,2011,0,0,0,0,0,0
103003,2012,0,0,0,0,0,0
103003,2013,0,0,0,0,0,0
103003,2014,0,0,0,0,0,0
103003,2015,0,1,0,0,0,0
103003,2016,0,0,0,0,0,0
103003,2017,0,1,0,0,0,0
103003,2018,0,0,0,0,0,0
103003,2019,0,0,0,1,0,1
103003,2020,0,0,0,0,0,0
103004,1972,0,0,0,0,0,0
103004,1973,0,0,0,0,1,0
103004,1974,0,0,0,0,0,0
103004,1975,0,0,0,0,0,0
103004,1976,0,0,0,0,0,0
103004,1977,0,0,0,0,0,0
103004,1978,0,0,0,0,0,0
103004,1979,0,0,0,0,0,0
103004,1980,0,0,0,0,0,0
103004,1981,0,0,0,0,0,0
103004,1982,0,0,0,0,0,0
103004,1983,0,0,0,0,0,0
103004,1984,0,0,0,0,0,0
103004,1985,0,0,0,0,0,0
103004,1986,0,0,0,0,0,0
103004,1987,0,0,0,0,0,0
103004,1988,0,0,0,0,0,0
103004,1989,0,0,0,0,0,1
103004,1990,0,0,0,0,0,0
103004,1991,0,0,0,0,0,0
103004,1992,0,0,0,0,0,0
103004,1993,0,0,0,0,0,0
103004,1994,0,0,0,0,0,0
103004,1995,0,0,0,0,0,0
103004,1996,0,0,0,0,0,0
103004,1997,0,0,0,0,0,0
103004,1998,0,0,0,0,0,0
103005,1999,0,1,0,0,0,0
103005,2000,0,0,0,0,0,0
103005,2001,0,1,0,0,1,0
103005,2002,0,0,0,0,0,0
103005,2003,0,1,1,0,0,0
103005,2004,0,1,0,0,0,0
103005,2005,0,0,1,0,0,0
103005,2006,0,0,0,0,0,0
103005,2007,0,0,0,0,0,0
103005,2008,0,0,0,0,1,0
103005,2009,0,0,0,0,0,0
103005,2010,0,1,0,0,0,0
103005,2011,0,0,0,0,0,0
103005,2012,0,1,1,0,0,0
103005,2013,0,0,0,0,0,0
103005,2014,0,1,0,0,0,0
103005,2015,0,0,0,0,0,0
103005,2016,0,0,0,0,0,0
103005,2017,0,0,0,0,0,0
103005,2018,0,1,0,0,0,0
103005,2019,0,0,0,0,0,0
103005,2020,0,0,0,0,0,0
103006,1997,0,0,0,0,0,0
103006,1998,0,0,0,0,0,0
103006,1999,0,1,0,0,0,0
103006,2000,0,1,0,0,0,0
103006,2001,0,1,1,0,0,0
103006,2002,0,1,0,0,0,0
103006,2003,0,0,0,0,0,0
103006,2004,0,0,0,0,0,0
103006,2005,0,0,0,0,0,0
103006,2006,0,0,0,0,0,0
103006,2007,0,0,0,0,0,0
103006,2008,0,0,0,0,0,0
103006,2009,0,0,0,0,0,0
103006,2010,0,1,0,0,0,0
103006,2011,0,1,0,0,0,0
103006,2012,0,1,1,0,0,0
103006,2013,0,0,0,0,0,0
103006,2014,0,1,0,0,0,0
103006,2015,0,1,0,0,0,0
103006,2016,0,0,0,0,0,0
103006,2017,0,0,0,0,0,0
103006,2018,0,1,0,0,0,0
103006,2019,0,0,0,0,0,0
103006,2020,0,0,0,0,0,0
103007,1992,0,0,0,0,0,0
103007,1993,0,1,0,0,0,0
103007,1994,0,0,0,0,0,0
103007,1995,0,0,0,0,0,0
103007,1996,0,0,0,0,0,0
103007,1997,0,0,0,0,0,0
103007,1998,0,0,0,0,0,0
103007,1999,0,0,0,0,0,0
104001,1965,0,0,0,0,0,0
104002,1962,0,1,0,0,0,0
104002,1963,0,0,0,0,0,0
104002,1964,0,0,0,0,0,0
104002,1965,0,0,0,0,1,0
104003,1976,0,0,0,0,1,0
104003,1977,0,0,0,0,1,0
104004,1965,0,0,0,0,0,0
104004,1966,0,0,0,0,0,0
104004,1967,0,0,0,0,0,0
104004,1968,0,0,0,0,0,0
104004,1969,0,0,0,0,0,0
104004,1970,0,0,0,0,1,0
104004,1971,0,0,0,0,1,0
104004,1972,0,0,0,0,0,0
104004,1973,0,0,0,0,0,0
104004,1974,0,0,0,0,1,0
104004,1975,0,0,0,0,0,0
104004,1976,0,0,0,0,1,0
104004,1977,0,0,0,0,1,0
104004,1978,0,0,0,0,0,0
104004,1979,0,0,0,0,1,0
104004,1980,0,0,0,0,0,0
104004,1981,0,0,0,0,1,0
104004,1982,0,0,0,0,0,0
104004,1983,0,0,0,0,0,0
104004,1984,0,0,0,0,0,0
104004,1985,0,0,0,0,0,0
104006,1968,0,0,0,0,1,0
104006,1969,0,0,0,0,0,0
104006,1970,0,0,0,0,0,0
104006,1971,0,0,0,0,1,0
104006,1972,0,0,0,0,0,0
104006,1973,0,0,0,0,0,0
104006,1974,0,0,0,0,1,0
104006,1975,0,0,0,0,0,0
104006,1976,0,0,0,0,0,0
104006,1977,0,0,0,0,1,0
104006,1978,0,0,0,0,0,0
104006,1979,0,0,0,0,0,0
104006,1980,0,0,0,0,0,0
104006,1981,0,0,0,0,0,0
104006,1982,0,0,0,0,0,0
104006,1983,0,0,0,0,0,0
104006,1984,0,0,0,0,0,0
104006,1985,0,0,0,0,1,0
104006,1986,0,0,0,0,0,0
104006,1987,0,0,0,0,0,0
104006,1988,0,0,0,0,0,0
104006,1989,0,0,0,0,0,0
104006,1990,0,0,0,0,0,0
104006,1991,0,0,0,0,1,0
104006,1992,0,0,0,0,0,0
104006,1993,0,0,0,0,0,0
104006,1994,0,0,0,0,0,0
104006,1995,0,0,0,0,0,0
104006,1996,0,0,0,0,0,0
104006,1997,0,0,0,0,0,0
104006,1998,0,0,0,0,0,0
104006,1999,0,0,0,0,1,0
104006,2000,0,0,0,0,0,0
104006,2001,0,0,0,0,0,0
104006,2002,0,0,0,0,0,0
104006,2003,0,0,0,0,0,0
104006,2004,0,0,0,0,0,0
104006,2005,0,0,0,0,0,0
104007,1965,0,0,0,0,1,0
104008,1965,0,0,0,0,0,0
104008,1966,0,0,0,0,0,0
104008,1967,0,0,0,0,0,0
104008,1968,0,0,0,0,0,0
104008,1969,0,0,0,0,0,0
104008,1970,0,0,0,0,0,0
104008,1971,0,0,0,0,0,0
104008,1972,0,0,0,0,0,0
104008,1973,0,0,0,0,0,0
104008,1974,0,0,0,0,0,0
104008,1975,0,0,0,0,0,0
104008,1976,0,0,0,0,0,0
104008,1977,0,0,0,0,1,0
104008,1978,0,0,0,0,1,0
104008,1979,0,0,0,0,0,0
104008,1980,0,0,0,0,0,0
104008,1981,0,0,0,0,1,0
104008,1982,0,0,0,0,0,0
104008,1983,0,0,0,0,0,0
104008,1984,0,0,0,0,0,0
104008,1985,0,0,0,0,1,0
104008,1986,0,0,0,0,0,0
104008,1987,0,0,0,0,1,0
104008,1988,0,0,0,0,0,0
104008,1989,0,0,0,0,0,0
104008,1990,0,0,0,0,0,0
104008,1991,0,0,0,0,1,0
104008,1992,0,0,0,0,0,0
104008,1993,0,0,0,0,0,0
104008,1994,0,0,0,0,0,0
104008,1995,0,0,0,0,1,0
104008,1996,0,0,0,0,0,0
104008,1997,0,0,0,0,0,1
104008,1998,0,0,0,0,0,0
104008,1999,0,0,0,0,1,0
104008,2000,0,0,0,0,0,0
104008,2001,0,0,0,0,0,0
104008,2002,0,0,0,0,0,0
104008,2003,0,0,0,0,1,0
104008,2004,0,0,0,0,0,0
104008,2005,0,0,0,0,0,0
104009,1963,0,0,0,0,0,0
104009,1964,0,0,0,0,0,0
104009,1965,0,0,0,0,0,0
104010,1962,0,0,0,0,0,0
104011,2004,0,0,0,0,1,0
104011,2005,0,0,0,0,0,0
104011,2006,0,0,0,0,1,0
104011,2007,0,0,0,0,1,0
104011,2008,0,0,0,0,0,0
104011,2009,0,0,0,0,1,0
104011,2010,0,0,0,0,1,0
104011,2011,0,0,0,0,0,0
104011,2012,0,0,0,0,0,0
104011,2013,0,0,0,0,0,0
104011,2014,0,1,0,0,1,0
104011,2015,0,0,0,0,0,0
104011,2016,0,0,0,0,0,0
104012,2005,0,0,0,0,0,0
104012,2006,0,0,0,0,0,0
104012,2007,0,0,0,0,0,0
104012,2008,0,0,0,0,0,0
104012,2009,0,0,0,0,1,0
104012,2010,0,0,0,0,0,0
104012,2011,0,0,0,0,0,0
104012,2012,0,0,0,0,0,0
